epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
68,26866.8,0.94903,1.35216,0.86602,0.00721,0.61723,0.82183,0.71668,0.78249,0.60724,0.79734,0.73197,0.77957,0.60045,1.22443,1.95824,1.30445,0.0214,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,27257.7,0.9512,1.34131,0.85534,0.00721,0.59039,0.81945,0.70771,0.77264,0.59645,0.82564,0.71506,0.77236,0.58629,1.25766,1.96166,1.32852,0.02217,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,27650,0.92275,1.32197,0.83254,0.00709,0.59237,0.78156,0.73317,0.77969,0.60382,0.78972,0.73394,0.77855,0.59274,1.23512,1.96461,1.31093,0.02173,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,28041.4,0.93317,1.35583,0.85128,0.00684,0.60038,0.81044,0.71763,0.77831,0.61058,0.8018,0.7262,0.77401,0.59951,1.20052,1.93431,1.31442,0.02042,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,28431.8,0.91074,1.32258,0.82341,0.00692,0.57136,0.84029,0.71118,0.78626,0.61158,0.81564,0.72644,0.77901,0.60334,1.22505,1.93618,1.26413,0.02133,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,28822.8,0.92628,1.30833,0.82709,0.0068,0.56365,0.79374,0.74169,0.78474,0.61275,0.79337,0.74578,0.78026,0.60091,1.24202,1.95563,1.29127,0.02162,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,29213.9,0.90354,1.2789,0.79601,0.00665,0.54632,0.81978,0.72508,0.78548,0.61562,0.82141,0.7243,0.77853,0.60114,1.2099,1.97508,1.30804,0.0209,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,29604.7,0.9089,1.27521,0.79192,0.00644,0.55106,0.8042,0.73698,0.78862,0.61489,0.79826,0.73786,0.78188,0.60517,1.225,1.96339,1.2861,0.02097,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,29995,0.89414,1.27004,0.78638,0.00656,0.54928,0.82118,0.72243,0.78602,0.61315,0.81162,0.72484,0.7775,0.60125,1.23437,1.98548,1.29056,0.0212,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,30385.4,0.89661,1.27417,0.78644,0.00682,0.5552,0.80726,0.73302,0.77864,0.60722,0.80656,0.73122,0.77357,0.59426,1.23572,1.99451,1.29984,0.02154,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,30776.8,0.89309,1.2545,0.77357,0.00653,0.53218,0.8052,0.72683,0.77851,0.60749,0.80534,0.72679,0.7737,0.60068,1.22667,2.00816,1.32146,0.02163,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,31167.5,0.89027,1.24392,0.7645,0.0064,0.5036,0.82511,0.72543,0.7846,0.60924,0.8288,0.71496,0.77799,0.59731,1.25024,2.00371,1.32922,0.02223,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
