epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
37,8158.59,0.76576,1.12293,0.74264,0.00712,0.56229,0.61132,0.7927,0.67715,0.56812,0.61547,0.8002,0.68917,0.56985,0.63535,0.86584,0.51012,0.00754,0,0.000282088,0.000282088,0.000282088
38,8377.43,0.75102,1.11798,0.72497,0.00679,0.56978,0.59293,0.80478,0.68223,0.5772,0.60202,0.80708,0.69757,0.57894,0.63444,0.86944,0.52627,0.00748,0,0.000279646,0.000279646,0.000279646
39,8596.31,0.74571,1.1091,0.71415,0.00676,0.54924,0.60873,0.8037,0.69752,0.59712,0.61914,0.81049,0.71188,0.59646,0.63772,0.84703,0.50864,0.00773,0,0.000277204,0.000277204,0.000277204
40,8815.95,0.76298,1.14225,0.72626,0.00711,0.55064,0.57936,0.81269,0.6877,0.5874,0.58788,0.8206,0.70228,0.58231,0.62137,0.84478,0.5193,0.00729,0,0.000274762,0.000274762,0.000274762
41,9035.27,0.75575,1.11782,0.72588,0.00693,0.56119,0.63447,0.82698,0.70792,0.59356,0.64548,0.83949,0.72116,0.59626,0.65458,0.86707,0.50072,0.00786,0,0.00027232,0.00027232,0.00027232
42,9254.77,0.75236,1.1107,0.71431,0.00693,0.51579,0.62844,0.78001,0.7099,0.60503,0.63888,0.78781,0.72015,0.59726,0.61538,0.8592,0.5025,0.00712,0,0.000269878,0.000269878,0.000269878
43,9473.86,0.74936,1.11189,0.73686,0.00673,0.55355,0.62208,0.76175,0.69371,0.59245,0.63196,0.7694,0.70747,0.58732,0.62001,0.85593,0.49545,0.00738,0,0.000267436,0.000267436,0.000267436
44,9693.54,0.75085,1.14243,0.71745,0.0069,0.53219,0.629,0.72925,0.68963,0.58662,0.637,0.73443,0.69887,0.58267,0.61049,0.86608,0.49162,0.00715,0,0.000264994,0.000264994,0.000264994
45,9912.89,0.74098,1.10932,0.71032,0.00673,0.51904,0.61758,0.79423,0.71237,0.61073,0.61824,0.80847,0.71941,0.60457,0.60269,0.84077,0.47484,0.00692,0,0.000262552,0.000262552,0.000262552
46,10131.7,0.7445,1.12678,0.72312,0.00673,0.53709,0.6123,0.76579,0.68859,0.59082,0.61959,0.77501,0.704,0.58507,0.60961,0.8414,0.47334,0.00701,0,0.00026011,0.00026011,0.00026011
47,10350.3,0.73215,1.0631,0.66632,0.00659,0.48557,0.55565,0.80449,0.67025,0.57144,0.57087,0.80738,0.6816,0.57234,0.61197,0.82496,0.5097,0.00723,0,0.000257668,0.000257668,0.000257668
48,10569.3,0.73459,1.10718,0.6801,0.00665,0.51792,0.60066,0.80711,0.70084,0.59926,0.60749,0.81652,0.71511,0.59743,0.60505,0.8252,0.47441,0.00699,0,0.000255226,0.000255226,0.000255226
49,10789.6,0.7231,1.07124,0.65179,0.00652,0.50146,0.61909,0.80492,0.70553,0.60494,0.62939,0.81622,0.72287,0.60304,0.60749,0.83836,0.49073,0.00706,0,0.000252784,0.000252784,0.000252784
50,11009.5,0.72456,1.07613,0.66675,0.00651,0.52441,0.5532,0.7972,0.66319,0.56827,0.56066,0.80631,0.67783,0.5643,0.59967,0.83515,0.48856,0.00698,0,0.000250342,0.000250342,0.000250342
51,11229.1,0.70785,1.03395,0.64093,0.00645,0.48184,0.607,0.77828,0.67415,0.58383,0.61187,0.78292,0.68477,0.57696,0.59981,0.84832,0.48447,0.00687,0,0.0002479,0.0002479,0.0002479
52,11447.6,0.72217,1.06755,0.65971,0.00652,0.48259,0.58959,0.81999,0.6927,0.59184,0.60341,0.82276,0.70862,0.59347,0.60332,0.83128,0.50215,0.00694,0,0.000245458,0.000245458,0.000245458
53,11666.2,0.71633,1.06215,0.65653,0.00645,0.48066,0.64717,0.74617,0.72483,0.62492,0.6482,0.75191,0.73518,0.62138,0.59339,0.81427,0.48873,0.00672,0,0.000243016,0.000243016,0.000243016
54,11886.2,0.73216,1.07548,0.67816,0.00665,0.472,0.61962,0.77582,0.69972,0.60097,0.61716,0.77382,0.70616,0.59739,0.60408,0.83829,0.50169,0.00697,0,0.000240574,0.000240574,0.000240574
55,12105.6,0.70938,1.0411,0.6325,0.00635,0.45729,0.59504,0.7818,0.64337,0.55017,0.60245,0.79118,0.65593,0.55488,0.59324,0.82589,0.5634,0.00669,0,0.000238132,0.000238132,0.000238132
56,12324.4,0.71828,1.07212,0.66955,0.00657,0.48367,0.5923,0.83024,0.68529,0.58983,0.60029,0.83982,0.69904,0.58967,0.58955,0.82285,0.48643,0.00664,0,0.00023569,0.00023569,0.00023569
57,12543,0.71122,1.03004,0.62944,0.00649,0.44816,0.5929,0.77657,0.69264,0.60017,0.61884,0.75472,0.70541,0.59276,0.60097,0.8397,0.49394,0.00677,0,0.000233248,0.000233248,0.000233248
58,12761.5,0.71406,1.07962,0.65465,0.0064,0.45911,0.6629,0.75318,0.68999,0.59664,0.67091,0.75673,0.70249,0.58907,0.60394,0.8093,0.50521,0.0069,0,0.000230806,0.000230806,0.000230806
